order_pay_date,pay_order_num,aim_order_num,pay_goods_num,demand_goods_num,peihuo_order_num,peihuo_duration,t0_peihuo_order_num,t0_peihuo_duration,t1_peihuo_order_num,t1_peihuo_duration,t2_peihuo_order_num,t2_peihuo_duration,t3_peihuo_order_num,t3_peihuo_duration,t4_peihuo_order_num,t4_peihuo_duration,t5_peihuo_order_num,t5_peihuo_duration,t6_peihuo_order_num,t6_peihuo_duration,t7_peihuo_order_num,t7_peihuo_duration,ship_order_num,ship_goods_num,aim_order_rate,demand_goods_rate,mean_peihuo_duration,peihuo_order_rate,ship_order_rate,ship_goods_rate,push_goods_num,push_goods_duration,t0_push_goods_num,t0_push_goods_duration,t2_push_goods_num,t2_push_goods_duration,t4_push_goods_num,t4_push_goods_duration,t6_push_goods_num,t6_push_goods_duration,t8_push_goods_num,t8_push_goods_duration,t10_push_goods_num,t10_push_goods_duration,need_send_num,oos_num,real_send_num,send_goods_duration,t0_send_goods_num,t0_send_goods_duration,t12_send_goods_num,t12_send_goods_duration,t24_send_goods_num,t24_send_goods_duration,t36_send_goods_num,t36_send_goods_duration,t48_send_goods_num,t48_send_goods_duration,t60_send_goods_num,t60_send_goods_duration,t72_send_goods_num,t72_send_goods_duration,receipt_num,receipt_goods_duration,t0_receipt_goods_num,t0_receipt_goods_duration,t12_receipt_goods_num,t12_receipt_goods_duration,t24_receipt_goods_num,t24_receipt_goods_duration,t36_receipt_goods_num,t36_receipt_goods_duration,t48_receipt_goods_num,t48_receipt_goods_duration,t60_receipt_goods_num,t60_receipt_goods_duration,t72_receipt_goods_num,t72_receipt_goods_duration,mean_push_duration,mean_send_duration,mean_receipt_duration,oos_rate,need_send_rate,real_send_rate
2017-09-12,9646,1675,81844,26051,7885,319652.587777778,1118,11370.7683333333,3168,102160.423611111,2464,123407.571111111,909,60353.8338888889,172,15499.6997222222,26,2855.9525,28,4004.33861111111,0,0,7856,62279,0.173647107609372,0.318300669566492,40.5393262876066,0.817437279701431,0.814430852166701,0.760947656517277,25251,8432.00083333334,24565,1978.87111111111,121,320.071111111111,108,493.5825,64,427.021666666667,54,474.019444444444,279,4191.965,25745,306,25066,406341.85,8809,62138.8072222222,12223,198701.290555555,3029,81200.0938888889,902,34483.7588888889,93,4413.95111111111,10,624.02,0,0,24837,649870.021666666,1230,12317.6155555556,12288,219988.501111111,7892,204702.903611111,2039,78192.6044444445,705,33683.505,187,11123.975,496,42248.4663888889,0.333927402215094,16.2108772839703,25.9263552887045,0.0121183319472496,0.98788166805275,0.973625946785784
2017-09-13,9496,1880,80986,24187,7833,319372.752777778,1128,11395.5980555556,2841,89419.5630555556,2602,127762.837222222,1027,67946.04,178,16304.6933333333,54,6135.5225,3,408.498611111111,0,0,7812,62395,0.197978096040438,0.298656557923592,40.7727247258749,0.824873631002527,0.822662173546757,0.770441804756378,23581,8305.63166666666,22972,1855.04888888889,54,152.766944444444,90,402.526944444444,76,462.077222222222,70,595.250555555556,281,4096.52333333333,23909,278,23442,374543.070833333,8471,59174.4047222222,11279,184649.905277778,2868,75881.7747222222,721,27663.7833333333,97,4226.38611111111,6,315.754444444444,0,0,23206,608101.806944444,1079,10572.3513888889,10939,192799.549166667,7871,207699.268611111,1930,72284.37,718,30765.1658333333,279,17531.4302777778,390,31716.0113888889,0.352217109820053,15.9774366877115,25.9406964825716,0.0117891522836182,0.988210847716382,0.980467606340709
2017-09-14,10096,2056,89097,25170,8291,346230.979444445,1165,11355.7222222222,2710,84012.8113888889,2972,143742.615277778,1060,71096.3466666667,319,28252.6805555556,55,6433.77388888889,10,1337.02944444444,0,0,8275,67168,0.20364500792393,0.28250109431294,41.7598576099921,0.821216323296355,0.819631537242472,0.753874990179243,24573,9306.9025,23926,2077.16583333333,93,248.244166666667,60,277.976388888889,70,428.930277777778,70,600.858333333333,328,5096.24222222222,24854,316,24323,396904.292222222,8368,56842.2547222222,11886,195446.813888889,3139,80472.5083333333,810,31460.0669444444,92,4848.30166666667,28,378.266111111111,0,0,24183,644570.203888889,1184,11539.2344444444,11127,196970.221944444,8290,216349.707777778,1994,76101.2825,800,38065.9413888889,323,19586.52,465,34231.535,0.378745065722541,16.3180648860018,26.5004400727249,0.0128596426972694,0.987140357302731,0.978635229741691
2017-09-15,11142,1995,106856,30459,9239,409315.3625,1111,11033.4483333333,2944,92361.4,2850,142371.3975,2014,132534.3375,247,22181.9294444444,62,7049.70361111111,8,1068.81416666667,3,714.331944444445,9217,82451,0.179052234787291,0.285047166279853,44.3029941010932,0.829204810626458,0.827230299766649,0.771608519877218,29734,9308.10472222223,29070,2358.48305555556,84,248.364166666667,83,342.358888888889,44,291.746111111111,76,679.468055555556,332,4848.65694444444,30020,439,29325,482262.958888889,9711,65168.2655555556,14855,240846.025555556,3588,94830.0469444445,1065,41328.63,97,4419.14222222222,9,570.018055555556,0,0,29102,766386.883055556,1412,13346.7022222222,12980,226265.051388889,10360,267580.883333333,2731,102267.726666667,1027,49960.0408333333,251,14510.2025,341,28100.1105555556,0.313045830437285,16.4454546935683,26.1342500615705,0.0147642429541939,0.985235757045806,0.976848767488341
2017-09-16,11904,1536,128980,39764,9937,475000.198333333,966,9780.65277777778,2479,81150.5363888889,4223,210033.297222222,1613,110783.604722222,538,47354.7416666667,94,10901.5258333333,4,530.828888888889,20,4465.01083333333,9916,100537,0.129032258064516,0.308295859823228,47.801167186609,0.834761424731183,0.832997311827957,0.779477438362537,38832,11099.5516666667,37869,3061.10583333333,200,577.712222222222,167,800.555277777778,145,871.586388888889,119,885.188611111111,281,4027.96444444444,39020,744,38242,662387.161388889,13056,87727.3722222223,17653,285812.973611111,4477,118324.069444444,2654,98597.4902777778,382,16585.1847222222,19,1164.01583333333,1,77.4941666666667,37843,1082471.60666667,1329,12230.3066666667,14894,267199.065555555,14460,385386.348055556,4160,156003.030277778,1679,74843.5094444444,490,30582.0613888889,831,62864.3233333333,0.285835178890262,17.3209340878848,28.3058314593031,0.019159456118665,0.980840543881335,0.980061506919528
2017-09-17,10143,1132,108918,36630,8474,403753.519444445,790,8868.09944444444,2507,80210.6627777778,2923,151606.185833333,1961,133465.879444444,231,21584.7441666667,41,4931.0575,18,2469.61861111111,3,617.271666666667,8465,83580,0.111604061914621,0.336308048256487,47.6461552330003,0.835453021788426,0.834565710342108,0.767366275546742,35698,10274.7788888889,34881,2737.60527777778,125,386.158333333333,126,600.758611111111,120,793.202777777778,90,795.597777777778,295,4279.93972222222,36041,589,35252,640046.184444444,9964,69949.8069444444,17133,273643.560555556,5789,156459.064166667,2134,78386.3375,209,8193.79555555556,23,1195.80722222222,0,0,34868,1007842.9175,958,9082.67916666667,14226,254489.603888889,12536,331633.003055556,4227,158535.5175,1527,68701.9772222222,599,36429.9261111111,795,56578.4541666667,0.287825057114933,18.1563084206412,28.5896663309883,0.016499523782845,0.983500476217155,0.978108265586416
2017-09-18,10024,1367,108994,33145,8508,372946.615,970,9430.31694444444,2367,74024.7197222222,3741,182702.078611111,1171,80640.2341666667,195,18082.4444444444,47,5294.92583333333,14,2093.61972222222,3,678.275555555556,8494,84238,0.136372705506784,0.304099308218801,43.8348160554772,0.848762968874701,0.847366320830008,0.772868231278786,32132,9211.25416666667,31399,2447.51666666667,92,256.469166666667,117,511.137222222222,104,635.625555555556,90,689.959444444445,265,3889.87166666667,32763,382,32003,519485.662777778,10461,71449.5452777778,16785,267963.2725,3604,94497.6783333333,1009,38270.3827777778,131,6061.86444444444,12,767.375,1,75.7797222222222,31661,883045.4,969,8977.28166666667,13306,232020.776388889,11046,291463.293333333,4375,161469.883333333,984,40878.9575,485,29211.3105555556,496,36786.4372222222,0.286669182331217,16.2324051738205,27.5925819454426,0.0118884601020789,0.988111539897921,0.976803101059122
2017-09-19,10361,1578,115946,32402,9094,391140.838888889,1032,10626.9836111111,3278,103083.119444444,3196,159314.018888889,1278,86997.6386111111,210,18796.1791666667,89,10614.2438888889,9,1235.89916666667,2,472.756111111111,9082,92684,0.152301901360873,0.279457678574509,43.0108685824597,0.877714506321784,0.876556316957823,0.799372121504838,31552,8835.76583333334,30812,2317.445,127,333.848055555556,97,443.3125,87,516.4875,74,612.6775,275,3921.24083333333,32075,327,31561,511577.001388889,10593,72238.3736111112,16257,262049.840555556,3529,90930.4883333333,1050,38208.1122222222,119,4804.20777777778,13,815.754444444445,0,0,31207,855171.1325,904,8490.32916666667,14653,260798.401666667,9852,248177.279722222,3552,127627.666944444,1213,55809.8780555556,331,18807.3113888889,702,48278.4838888889,0.280038217334348,16.2091505778933,27.0958186527677,0.0103638438133874,0.989636156186613,0.983975058456742
2017-09-20,10666,1735,121530,32437,9268,407496.349722222,1143,11848.6658333333,3113,101250.158888889,3241,162518.582777778,1351,91620.9625,343,29938.78,50,5666.76083333333,18,2457.5525,9,2194.88638888889,9266,97311,0.162666416651041,0.266905290874681,43.9680998837098,0.868929308081755,0.868741796362273,0.800715872624043,31507,10077.2513888889,30702,2403.79666666667,118,319.334166666667,109,519.504444444444,117,610.411111111111,81,678.403888888889,317,4623.09083333333,31968,469,31424,512943.365555556,10648,72457.3413888889,15867,256306.67,3619,95423.3713888889,1119,41719.8722222222,136,5865.38,35,868.481944444444,0,0,31124,878265.487222222,1020,9504.70055555556,13684,244228.527777778,10722,277589.02,2380,90379.7466666667,2112,93321.98,428,22595.7991666667,778,57704.9666666667,0.319841666578503,16.3232995657954,27.9488762481614,0.014885580982004,0.985114419017996,0.982982982982983
2017-09-21,12764,1904,145666,39658,10986,489919.849444444,1235,12047.0875,3397,107588.226944444,3987,198394.933333333,1893,123897.825,347,30591.1016666667,91,10641.185,18,2453.97638888889,18,4305.51361111111,10975,115488,0.149169539329364,0.27225296225612,44.5949253089791,0.860701974302726,0.859840175493576,0.792827427127813,38524,12290.0908333333,37610,2907.60694444444,114,318.315277777778,129,592.668611111111,95,531.501111111111,99,808.317222222222,413,5675.12027777778,39090,568,38441,630269.859722222,12994,86345.6280555555,18973,309045.598055555,4955,130328.444722222,1363,51618.2063888889,136,6215.92083333333,20,806.046666666667,0,0,38028,1076769.75638889,1521,14499.1797222222,16483,294613.305,13072,342579.291666667,3219,119386.148333333,2217,101162.983055556,564,31712.1733333333,952,77031.8180555556,0.319024266258263,16.3957716948628,28.0109715249054,0.0147440556536185,0.985255944346382,0.98339728830903
